Fecha,Hora,Precio_COP_kWh
2023-01-30,6,440.14
2023-01-30,7,440.14
2023-01-30,8,440.14
2023-01-30,9,440.14
2023-01-30,10,440.14
2023-01-30,11,446.54
2023-01-30,12,451.54
2023-01-30,13,456.54
2023-01-30,14,481.54
2023-01-30,15,451.54
2023-01-30,16,446.54
2023-01-30,17,446.54
2023-01-30,18,446.54
2023-01-30,19,481.54
2023-01-30,20,481.54
2023-01-30,21,481.54
2023-01-30,22,481.54
2023-01-30,23,451.54
2023-01-30,24,451.54
2023-01-31,1,492.45
2023-01-31,2,492.45
2023-01-31,3,492.45
2023-01-31,4,492.45
2023-01-31,5,492.45
2023-01-31,6,507.45
2023-01-31,7,507.45
2023-01-31,8,525.95
2023-01-31,9,552.45
2023-01-31,10,552.45
2023-01-31,11,562.45
2023-01-31,12,592.45
2023-01-31,13,592.45
2023-01-31,14,592.45
2023-01-31,15,652.65
2023-01-31,16,652.65
2023-01-31,17,652.65
2023-01-31,18,592.45
2023-01-31,19,652.65
2023-01-31,20,652.65
2023-01-31,21,652.65
2023-01-31,22,592.45
2023-01-31,23,552.45
2023-01-31,24,552.45
2023-02-01,1,661.2
2023-02-01,2,661.2
2023-02-01,3,646.2
2023-02-01,4,551.2
2023-02-01,5,621.2
2023-02-01,6,621.2
2023-02-01,7,621.2
2023-02-01,8,621.2
2023-02-01,9,651.2
2023-02-01,10,698.2
2023-02-01,11,698.2
2023-02-01,12,698.2
2023-02-01,13,698.2
2023-02-01,14,698.2
2023-02-01,15,736.2
2023-02-01,16,736.2
2023-02-01,17,736.2
2023-02-01,18,698.2
2023-02-01,19,736.2
2023-02-01,20,736.2
2023-02-01,21,736.2
2023-02-01,22,698.2
2023-02-01,23,621.2
2023-02-01,24,621.2
2023-02-02,1,751.19
2023-02-02,2,749.23
2023-02-02,3,749.23
2023-02-02,4,749.23
2023-02-02,5,749.23
2023-02-02,6,751.19
2023-02-02,7,752.19
2023-02-02,8,752.19
2023-02-02,9,761.19
2023-02-02,10,802.19
2023-02-02,11,866.49
2023-02-02,12,801.19
2023-02-02,13,756.19
2023-02-02,14,756.19
2023-02-02,15,801.19
2023-02-02,16,801.19
2023-02-02,17,761.19
2023-02-02,18,756.19
2023-02-02,19,760.19
2023-02-02,20,802.19
2023-02-02,21,761.19
2023-02-02,22,756.19
2023-02-02,23,756.19
2023-02-02,24,752.19
2023-02-03,1,791.37
2023-02-03,2,466.43
2023-02-03,3,464.47
2023-02-03,4,421.43
2023-02-03,5,466.43
2023-02-03,6,791.37
2023-02-03,7,791.37
2023-02-03,8,791.37
2023-02-03,9,791.43
2023-02-03,10,791.43
2023-02-03,11,791.43
2023-02-03,12,791.43
2023-02-03,13,791.43
2023-02-03,14,791.43
2023-02-03,15,791.43
2023-02-03,16,791.43
