muestras,horas,muestras_en_horas,horas_mayoria,horas_quedan_lt23,horas_quedan_0,horas_incompletas,horas_completas,horas_adyacentes_vacia,energia_kWh,delta_kWh_quitar_muestras,inst,medidor,med,bandera
227,52,1495,6,10,4,10,42,1,169.9914236291486,-34.43747760735433,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59.9-60.1
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59-61
47,44,1317,0,0,0,3,41,0,289.2476413793103,-0.08959950738915534,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_1.5q
8,8,239,0,0,0,1,7,0,64.4956,-0.1362206896551701,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_2q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_3q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_4q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_10q
8,8,239,0,0,0,1,7,0,64.4956,-0.1362206896551701,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_2q_o_2pct
7,7,209,0,0,0,1,6,0,48.92646666666667,-0.07667356321838881,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_2q_o_5pct
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_3q_o_2pct
