k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
3992,2,3,False,1224.6737440000006,2.1913000000000005,89.6449040690342,99.99999999999966,89.64490406903451,2.191299999999993,89.19189216630929,99.99999999999883,89.19189216631031,2.191299999999975,6.633197680017133e-08,3.3182723235825046e-10
3994,4,1,False,1630.4765120000002,2.9174,80.57104730494581,99.99999999999989,80.5710473049459,2.917399999999996,80.57104600860106,100.00000000000044,80.57104600860072,2.917400000000012,0.0,1.2434497875801752e-14
4020,4,1,False,3139.01331724138,6.2269655172413785,81.17635401576842,100.00000000000026,81.17635401576821,6.2269655172413945,81.17635314237434,100.00000000000146,81.17635314237315,6.22696551724147,1.5987211554602254e-14,9.14823772291129e-14
4089,4,1,False,113.33498800000017,0.2132000000000002,80.85675585138607,100.0,80.85675585138607,0.2132000000000002,80.8567562468253,100.00000000000664,80.85675624681991,0.2132000000000144,0.0,1.4183099139586376e-14
4092,4,1,False,83.76348500000007,0.1581666666666668,80.87889291951669,100.00000000000004,80.87889291951666,0.1581666666666668,80.87889320125667,99.99999999999304,80.87889320126229,0.1581666666666558,2.775557561562892e-17,0.0
4111,1,4,False,793.3941104266667,1.6716999999999995,99.999781911021,100.0,99.999781911021,1.6717,99.9981768705486,100.00000000000024,99.99817687054836,1.671700000000004,2.220446049250313e-16,4.218847493575595e-15
4116,4,1,False,2156.1591120000007,3.894233333333334,80.62323986028905,100.0,80.62323986028905,3.894233333333334,80.62323933502903,99.9999999999989,80.62323933502991,3.894233333333292,0.0,0.0
4167,3,2,False,533.0600332400004,1.889566666666668,99.99999999791036,99.99999999999686,99.9999999979135,1.8895666666666084,100.00102144990618,100.00000000000117,100.001021449905,1.8895666666666897,1.2807999105746148e-10,0.0050091136836808
4189,4,1,False,2724.032988000001,5.5158000000000005,81.30495871257027,100.0000000000001,81.30495871257018,5.515800000000006,81.30495454198805,100.0000000000002,81.3049545419879,5.515800000000012,5.3290705182007506e-15,1.1546319456101628e-14
4256,4,1,False,174.6799656666668,0.4399666666666669,82.84141608424127,100.00000000000011,82.84141608424119,0.4399666666666675,82.84141837874924,99.99999999999932,82.84141837874981,0.4399666666666639,5.551115123125784e-16,0.0
4351,2,3,True,197.3524914533333,0.4478666666666666,99.99999999999774,99.99999999999774,100.0,0.4478666666666565,99.99999999999856,99.99999999999858,100.0,0.4478666666666603,2.6601526696701242e-08,2.3290524554381298e-06
4354,3,2,True,1721.0513504593332,3.914593333333333,100.00000000000011,100.00000000000011,100.0,3.9145933333333383,100.00000000000236,100.00000000000236,100.0,3.9145933333334257,1.1061100946285762e-07,0.0002394807243074
4377,2,3,True,288.4338980566666,0.5972333333333331,100.0000000000001,100.00000000000011,99.99999999999996,0.5972333333333338,99.99999999999942,99.99999999999945,99.99999999999996,0.5972333333333297,3.77176136989732e-08,5.31870727310535e-06
4382,2,3,True,868.9627871766663,1.888433333333333,99.99999999999932,99.99999999999932,100.0,1.88843333333332,99.9999999999984,99.9999999999984,100.0,1.888433333333303,2.9043349059065804e-08,0.0022028455186343
4398,1,4,False,231.90244,0.4363333333333333,89.49391862207848,99.9999999999998,89.49391862207867,0.4363333333333324,89.50504597180075,99.99999999999834,89.50504597180225,0.4363333333333261,0.0,0.0
4429,4,1,False,363.6607866666668,0.6546666666666668,60.15206187440809,100.00000000017984,60.15206187429991,0.6546666666678442,60.15206177766078,99.9999999999632,60.15206177768292,0.6546666666664259,1.1773915176149785e-12,0.0
4480,3,2,False,1896.9103270573332,4.359813333333333,99.99996834741192,100.00000000000068,99.99996834741124,4.359813333333363,99.99337559179652,99.9999999999991,99.99337559179742,4.359813333333294,9.01805634612174e-08,0.0
4524,1,4,False,622.4756856666667,1.0995666666666666,90.13650255075082,100.0,90.1365025507508,1.0995666666666668,90.0250666836645,100.0,90.02506668366452,1.0995666666666664,2.220446049250313e-16,0.0
4567,1,4,False,645.3680692628964,1.2812910344827582,100.00000015139156,99.9999999999997,100.00000015139186,1.2812910344827542,99.99992834261592,99.99999999999952,99.9999283426164,1.2812910344827522,1.1919892746459217e-07,8.946573145129921e-05
