k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
587,2,3,aggregate,65.12603190191619,45.49523985876909,100.0,1,3,95.1018895254299,3.963540768002421,53.30057339956793
587,2,3,matrix,64.08070147404047,1.5987560355096086e-10,99.87792480199391,2,3,97.53068083852273,3.963540768002402,97.905554983708
613,4,1,aggregate,19.465290616825136,19.465290616825136,19.465290616825136,0,1,99.99999999999974,7.244466666666649,19.465290616825136
613,4,1,matrix,19.465333945196388,19.465333945196388,19.465333945196388,0,1,100.0,7.244466666666669,19.465333945196388
638,4,1,aggregate,19.42740214779497,19.42740214779497,19.42740214779497,0,1,100.00000000000004,1.7306666666666666,19.42740214779497
638,4,1,matrix,19.42743682757376,19.42743682757376,19.42743682757376,0,1,100.0,1.730666666666666,19.42743682757375
686,3,2,aggregate,44.662083851248624,10.231805666346096,79.09236203615116,0,2,97.46600327009612,5.509503331326162,34.465796871575364
686,3,2,matrix,41.941580759509804,1.6038424795718618e-10,83.88316151885923,1,2,99.99999999995204,5.509503331326166,83.88316151832103
688,1,4,aggregate,74.83377204266341,70.89444746034816,76.14727461087749,0,4,94.82694310247066,1.3407373413733796,74.76217963587682
688,1,4,matrix,74.8302625501457,71.08393676353067,76.31212640384952,0,4,94.8442486132152,1.3407373413733796,74.75106457226417
758,4,1,aggregate,20.041626572066928,20.041626572066928,20.041626572066928,0,1,100.00000000000006,5.182533333333336,20.041626572066928
758,4,1,matrix,20.04168786735309,20.04168786735309,20.04168786735309,0,1,99.9999999973316,5.1825333331950425,20.041687867353097
802,2,3,aggregate,64.18930952855435,61.16656029428081,65.70091681024832,0,3,95.39857161839802,3.456559632642094,64.11643114488002
802,2,3,matrix,63.22995204598737,22.83570827084525,99.98700899962448,1,3,99.51925443841502,3.4565596326421137,97.60657235730076
803,2,3,aggregate,65.26446268131536,5.565454804266022,100.0,1,3,96.97912370336222,6.748045687735768,42.82500150511088
803,2,3,matrix,63.22963099879731,24.31809176100814,99.99999999985025,1,3,99.99998557077257,6.748045687735775,99.9999326009774
